Time	Node	PitItems
516	1	Rtr2	1432
517	1	Rtr2	732
518	1	Rtr2	30
519	1	Rtr2	11
520	1	Rtr2	13
521	1	Rtr2	20
522	1	Rtr2	20
523	1	Rtr2	15
524	1	Rtr2	16
525	1	Rtr2	11
526	1	Rtr2	12
527	1	Rtr2	21
528	1	Rtr2	19
529	1	Rtr2	22
530	1	Rtr2	24
531	1	Rtr2	14
532	1	Rtr2	23
533	1	Rtr2	19
534	1	Rtr2	709
535	1	Rtr2	1409
536	1	Rtr2	1421
537	1	Rtr2	1426
538	1	Rtr2	721
539	1	Rtr2	28
540	1	Rtr2	12
541	1	Rtr2	19
542	1	Rtr2	18
543	1	Rtr2	18
544	1	Rtr2	18
545	1	Rtr2	20
546	1	Rtr2	19
547	1	Rtr2	184
548	1	Rtr2	135
549	1	Rtr2	129
550	1	Rtr2	130
551	1	Rtr2	21
552	1	Rtr2	24
553	1	Rtr2	18
554	1	Rtr2	13
555	1	Rtr2	709
556	1	Rtr2	1403
557	1	Rtr2	1408
558	1	Rtr2	1412
559	1	Rtr2	716
560	1	Rtr2	33
561	1	Rtr2	17
562	1	Rtr2	14
563	1	Rtr2	15
564	1	Rtr2	188
565	1	Rtr2	177
566	1	Rtr2	157
567	1	Rtr2	159
568	1	Rtr2	21
569	1	Rtr2	23
570	1	Rtr2	18
571	1	Rtr2	15
572	1	Rtr2	20
573	1	Rtr2	19
574	1	Rtr2	25
575	1	Rtr2	21
576	1	Rtr2	699
577	1	Rtr2	1386
578	1	Rtr2	1398
579	1	Rtr2	1404
580	1	Rtr2	730
581	1	Rtr2	45
582	1	Rtr2	30
583	1	Rtr2	21
584	1	Rtr2	18
585	1	Rtr2	20
586	1	Rtr2	23
587	1	Rtr2	23
588	1	Rtr2	16
589	1	Rtr2	14
590	1	Rtr2	18
591	1	Rtr2	18
592	1	Rtr2	27
593	1	Rtr2	20
594	1	Rtr2	16
595	1	Rtr2	18
596	1	Rtr2	22
597	1	Rtr2	703
598	1	Rtr2	1390
599	1	Rtr2	1393
600	1	Rtr2	1405
601	1	Rtr2	732
602	1	Rtr2	39
603	1	Rtr2	696
604	1	Rtr2	1382
605	1	Rtr2	1397
606	1	Rtr2	1394
607	1	Rtr2	716
608	1	Rtr2	34
609	1	Rtr2	27
610	1	Rtr2	27
611	1	Rtr2	27
612	1	Rtr2	18
613	1	Rtr2	21
614	1	Rtr2	30
615	1	Rtr2	30
616	1	Rtr2	20
617	1	Rtr2	24
618	1	Rtr2	19
619	1	Rtr2	20
620	1	Rtr2	26
621	1	Rtr2	24
622	1	Rtr2	34
623	1	Rtr2	186
624	1	Rtr2	814
625	1	Rtr2	1497
626	1	Rtr2	1493
627	1	Rtr2	1402
628	1	Rtr2	710
629	1	Rtr2	29
630	1	Rtr2	22
631	1	Rtr2	22
632	1	Rtr2	20
633	1	Rtr2	28
634	1	Rtr2	26
635	1	Rtr2	30
636	1	Rtr2	13
637	1	Rtr2	23
638	1	Rtr2	23
639	1	Rtr2	19
640	1	Rtr2	18
641	1	Rtr2	29
642	1	Rtr2	34
643	1	Rtr2	21
644	1	Rtr2	22
645	1	Rtr2	691
646	1	Rtr2	1364
647	1	Rtr2	1373
648	1	Rtr2	1371
649	1	Rtr2	707
650	1	Rtr2	32
651	1	Rtr2	19
652	1	Rtr2	20
653	1	Rtr2	22
654	1	Rtr2	16
655	1	Rtr2	24
656	1	Rtr2	21
657	1	Rtr2	19
658	1	Rtr2	18
659	1	Rtr2	21
660	1	Rtr2	23
661	1	Rtr2	22
662	1	Rtr2	27
663	1	Rtr2	28
664	1	Rtr2	25
665	1	Rtr2	24
666	1	Rtr2	688
667	1	Rtr2	1354
668	1	Rtr2	1363
669	1	Rtr2	1363
670	1	Rtr2	712
671	1	Rtr2	39
672	1	Rtr2	39
673	1	Rtr2	24
674	1	Rtr2	20
675	1	Rtr2	23
676	1	Rtr2	16
677	1	Rtr2	16
678	1	Rtr2	25
679	1	Rtr2	170
680	1	Rtr2	167
681	1	Rtr2	147
682	1	Rtr2	148
683	1	Rtr2	27
684	1	Rtr2	22
685	1	Rtr2	24
686	1	Rtr2	24
687	1	Rtr2	680
688	1	Rtr2	1339
689	1	Rtr2	1350
690	1	Rtr2	1366
691	1	Rtr2	698
692	1	Rtr2	54
693	1	Rtr2	40
694	1	Rtr2	32
695	1	Rtr2	36
696	1	Rtr2	31
697	1	Rtr2	26
698	1	Rtr2	24
699	1	Rtr2	24
700	1	Rtr2	32
701	1	Rtr2	28
702	1	Rtr2	44
703	1	Rtr2	28
704	1	Rtr2	23
705	1	Rtr2	35
706	1	Rtr2	26
707	1	Rtr2	23
708	1	Rtr2	682
709	1	Rtr2	1343
710	1	Rtr2	1355
711	1	Rtr2	1358
712	1	Rtr2	707
713	1	Rtr2	47
714	1	Rtr2	32
715	1	Rtr2	35
716	1	Rtr2	42
717	1	Rtr2	40
718	1	Rtr2	23
719	1	Rtr2	19
720	1	Rtr2	29
721	1	Rtr2	31
722	1	Rtr2	22
723	1	Rtr2	20
724	1	Rtr2	30
725	1	Rtr2	28
726	1	Rtr2	26
727	1	Rtr2	22
728	1	Rtr2	25
729	1	Rtr2	684
730	1	Rtr2	1361
731	1	Rtr2	1362
732	1	Rtr2	1359
733	1	Rtr2	695
734	1	Rtr2	46
735	1	Rtr2	39
736	1	Rtr2	36
737	1	Rtr2	46
738	1	Rtr2	25
739	1	Rtr2	24
740	1	Rtr2	25
741	1	Rtr2	21
742	1	Rtr2	189
743	1	Rtr2	157
744	1	Rtr2	137
745	1	Rtr2	141
746	1	Rtr2	34
747	1	Rtr2	44
748	1	Rtr2	35
749	1	Rtr2	15
750	1	Rtr2	675
751	1	Rtr2	1338
752	1	Rtr2	1340
753	1	Rtr2	1344
754	1	Rtr2	717
755	1	Rtr2	70
756	1	Rtr2	57
757	1	Rtr2	55
758	1	Rtr2	28
759	1	Rtr2	33
760	1	Rtr2	36
761	1	Rtr2	48
762	1	Rtr2	24
763	1	Rtr2	18
764	1	Rtr2	19
765	1	Rtr2	32
766	1	Rtr2	40
767	1	Rtr2	17
768	1	Rtr2	24
769	1	Rtr2	19
770	1	Rtr2	185
771	1	Rtr2	788
772	1	Rtr2	1423
773	1	Rtr2	1434
774	1	Rtr2	1325
775	1	Rtr2	693
776	1	Rtr2	51
777	1	Rtr2	54
778	1	Rtr2	37
779	1	Rtr2	32
780	1	Rtr2	43
781	1	Rtr2	25
782	1	Rtr2	22
783	1	Rtr2	23
784	1	Rtr2	22
785	1	Rtr2	40
786	1	Rtr2	38
787	1	Rtr2	43
788	1	Rtr2	29
789	1	Rtr2	24
790	1	Rtr2	39
791	1	Rtr2	32
792	1	Rtr2	687
793	1	Rtr2	1316
794	1	Rtr2	1321
795	1	Rtr2	1336
796	1	Rtr2	703
797	1	Rtr2	73
798	1	Rtr2	45
799	1	Rtr2	23
800	1	Rtr2	30
801	1	Rtr2	45
802	1	Rtr2	30
803	1	Rtr2	35
804	1	Rtr2	33
805	1	Rtr2	30
806	1	Rtr2	42
807	1	Rtr2	45
808	1	Rtr2	25
809	1	Rtr2	22
810	1	Rtr2	36
811	1	Rtr2	32
812	1	Rtr2	30
813	1	Rtr2	664
814	1	Rtr2	1307
815	1	Rtr2	1327
816	1	Rtr2	1328
817	1	Rtr2	705
818	1	Rtr2	61
819	1	Rtr2	44
820	1	Rtr2	55
821	1	Rtr2	55
822	1	Rtr2	44
823	1	Rtr2	33
824	1	Rtr2	29
825	1	Rtr2	40
826	1	Rtr2	44
827	1	Rtr2	37
828	1	Rtr2	51
829	1	Rtr2	28
830	1	Rtr2	26
831	1	Rtr2	49
832	1	Rtr2	39
833	1	Rtr2	23
834	1	Rtr2	653
835	1	Rtr2	1301
836	1	Rtr2	1329
837	1	Rtr2	1323
838	1	Rtr2	696
839	1	Rtr2	186
840	1	Rtr2	162
841	1	Rtr2	180
842	1	Rtr2	177
843	1	Rtr2	51
844	1	Rtr2	46
845	1	Rtr2	38
846	1	Rtr2	46
847	1	Rtr2	39
848	1	Rtr2	33
849	1	Rtr2	29
850	1	Rtr2	31
851	1	Rtr2	40
852	1	Rtr2	23
853	1	Rtr2	21
854	1	Rtr2	31
855	1	Rtr2	669
856	1	Rtr2	1294
857	1	Rtr2	1307
858	1	Rtr2	1302
859	1	Rtr2	678
860	1	Rtr2	64
861	1	Rtr2	45
862	1	Rtr2	60
863	1	Rtr2	49
864	1	Rtr2	37
